รหัส,ชื่อหมู่บ้าน,หมู่,ชื่อตำบล,ชื่ออำเภอ,จังหวัด,ประชากร
30010201,หนองปรือ,1,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,3236
30010202,หนองไผ่,2,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,2641
30010203,หนองพลวงน้อย,3,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1367
30010204,หนองพลวงมะนาว,4,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,2240
30010205,หนองพุดซา,5,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1390
30010207,บึงแสนสุข,7,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1301
30010208,ศรีสมบูรณ์,8,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1961
30010209,ค่ายสุรธรรมพิทักษ์,9,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,6742
30010210,หนองไผ่พัฒนา,10,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,2143
30010211,หนองพลวงพัฒนา,11,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1828
30010301,ต่างตา,1,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,606
30010302,กรีน,2,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,617
30010303,ถนนหัก,3,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,1490
30010304,หนองปรู,4,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,3364
30010305,บุญเรือง,5,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,4662
30010401,โคกสูง,1,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,1326
30010402,หนองโพธิ์,2,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,625
30010403,ส่องใต้,3,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,798
30010404,ระงม,4,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,886
30010405,หัวสระ,5,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,714
30010406,ระงมพัฒนา,6,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,671
30010407,มะม่วงพัฒนา,7,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,416
30010408,ส่องเหนือ,8,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,672
30010409,ลำเชิงไกร,9,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,839
30010410,สำคัญ,10,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,1364
30010411,หนองกระชาย,11,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,1139
30010501,หัวช้าง,1,มะเริง,เมืองนครราชสีมา,นครราชสีมา,218
30010502,ใหม่,2,มะเริง,เมืองนครราชสีมา,นครราชสีมา,1074
30010503,สารภี,3,มะเริง,เมืองนครราชสีมา,นครราชสีมา,1082
30010504,พระ,4,มะเริง,เมืองนครราชสีมา,นครราชสีมา,1038
30010505,บึงสาร,5,มะเริง,เมืองนครราชสีมา,นครราชสีมา,766
30010506,พระ,6,มะเริง,เมืองนครราชสีมา,นครราชสีมา,900
30010507,โคก,7,มะเริง,เมืองนครราชสีมา,นครราชสีมา,391
30010508,กระทอน,8,มะเริง,เมืองนครราชสีมา,นครราชสีมา,766
30010509,เคียงบึง,9,มะเริง,เมืองนครราชสีมา,นครราชสีมา,642
30010601,ยองแยง,1,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,458
30010602,หนองไทร,2,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,420
30010603,หนองม่วง,3,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,763
30010604,หนองขาม,4,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,458
30010605,ทับช้าง,5,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,668
30010606,ทับช้าง,6,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,1627
30010607,มะค่า,7,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,974
30010608,ชะอม,8,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,481
30010609,ชะอม,9,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,893
30010610,โตนด,10,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,464
30010611,โตนด,11,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,869
30010612,หนองระเวียง,12,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,766
30010613,หนองสมอ,13,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,836
30010614,โนนมะกอก,14,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,242
30010615,หนองพะลาน,15,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,766
30010701,คนชุม,1,ปรุใหญ่,เมืองนครราชสีมา,นครราชสีมา,1557
30010702,ตะคองเก่า,2,ปรุใหญ่,เมืองนครราชสีมา,นครราชสีมา,1204
30010703,หนองหอย,3,ปรุใหญ่,เมืองนครราชสีมา,นครราชสีมา,203
30010704,วิโรจน์พัฒนา,4,ปรุใหญ่,เมืองนครราชสีมา,นครราชสีมา,1362
30010705,พบสุข,5,ปรุใหญ่,เมืองนครราชสีมา,นครราชสีมา,2712
30010706,เลียบ,6,ปรุใหญ่,เมืองนครราชสีมา,นครราชสีมา,245
30010707,แสนสุข,7,ปรุใหญ่,เมืองนครราชสีมา,นครราชสีมา,1875
30010801,ประโดก,1,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,1589
30010802,หมื่นไวย,2,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,980
30010803,โนนตาสุข,3,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,1005
30010804,โพนสูง,4,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,755
30010805,คลองบริบูรณ์,5,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,637
30010806,โคกไผ่,6,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,1300
30010807,หนองนาลุ่ม,7,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,810
30010808,โคกผงาด,8,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,1287
30010809,โคกไผ่สอง,9,หมื่นไวย,เมืองนครราชสีมา,นครราชสีมา,1449
30010901,พลกรัง,1,พลกรัง,เมืองนครราชสีมา,นครราชสีมา,358
30010902,พลกรัง,2,พลกรัง,เมืองนครราชสีมา,นครราชสีมา,455
30010903,พลกรัง,3,พลกรัง,เมืองนครราชสีมา,นครราชสีมา,499
30010904,สะแกกรัง,4,พลกรัง,เมืองนครราชสีมา,นครราชสีมา,449
30010905,บุขี้ตุ่น,5,พลกรัง,เมืองนครราชสีมา,นครราชสีมา,412
30010906,ตาท้าว,6,พลกรัง,เมืองนครราชสีมา,นครราชสีมา,544
30010907,บึงตะโก,7,พลกรัง,เมืองนครราชสีมา,นครราชสีมา,992
30010908,บึงประเสริฐ,8,พลกรัง,เมืองนครราชสีมา,นครราชสีมา,226
30011001,บุ่ง,1,หนองไผ่ล้อม,เมืองนครราชสีมา,นครราชสีมา,18632
30011002,บุ่งตาหลั่ว,2,หนองไผ่ล้อม,เมืองนครราชสีมา,นครราชสีมา,462
30011007,หนองนกยูง,7,หนองไผ่ล้อม,เมืองนครราชสีมา,นครราชสีมา,1012
30011101,หัวทะเล,1,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,6156
30011102,ดอนขวาง,2,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,1832
30011103,โนนฝรั่ง,3,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,1321
30011104,หนองสองห้อง,4,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,3001
30011105,พะไล,5,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,2566
30011106,พะไล,6,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,1346
30011107,หัวถนน,7,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,1593
30011108,ข่อยงาม,8,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,317
30011109,ท่ากระสังข์,9,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,295
30011110,หนองสองห้อง,10,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,1983
30011111,บุญนิมิต,11,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,2441
30011112,ทุ่งทะเลร่วมใจ,12,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,647
30011201,เกาะ,1,บ้านเกาะ,เมืองนครราชสีมา,นครราชสีมา,3445
30011202,เกาะ,2,บ้านเกาะ,เมืองนครราชสีมา,นครราชสีมา,1871
30011203,ขนาย,3,บ้านเกาะ,เมืองนครราชสีมา,นครราชสีมา,953
30011204,โคกไผ่น้อย,4,บ้านเกาะ,เมืองนครราชสีมา,นครราชสีมา,556
30011205,บึงพญาปราบ,5,บ้านเกาะ,เมืองนครราชสีมา,นครราชสีมา,1709
30011206,เกาะราษฎร์สามัคคี,6,บ้านเกาะ,เมืองนครราชสีมา,นครราชสีมา,1339
30011253,ขนาย,3,บ้านเกาะ,เมืองนครราชสีมา,นครราชสีมา,220
30011301,ใหม่,1,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,645
30011302,ใหม่,2,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,1653
30011303,หัวสิบ,3,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,578
30011304,มะขามเฒ่า,4,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,1808
30011305,ภูเขาลาด,5,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,3046
30011306,สำโรงเหนือ,6,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,1317
30011307,ศรีษะละเลิง,7,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,981
30011308,กำทวด,8,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,1209
30011309,สำโรง,9,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,2260
30011310,ศรีษะละเลิง,10,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,1856
30011311,ยางน้อย,11,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,900
30011312,มะขามเฒ่าพัฒนา,12,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,1036
30011354,มะขามเฒ่า,4,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,1048
30011359,สำโรง,9,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,1389
30011401,มะเดื่อ,1,พุดซา,เมืองนครราชสีมา,นครราชสีมา,464
30011402,พุดซา,2,พุดซา,เมืองนครราชสีมา,นครราชสีมา,641
30011403,พุดซาริมบึง,3,พุดซา,เมืองนครราชสีมา,นครราชสีมา,334
30011404,ดอนกระทิง,4,พุดซา,เมืองนครราชสีมา,นครราชสีมา,347
30011405,บุกระถิน,5,พุดซา,เมืองนครราชสีมา,นครราชสีมา,828
30011406,กล้วย,6,พุดซา,เมืองนครราชสีมา,นครราชสีมา,532
30011407,ตะโก,7,พุดซา,เมืองนครราชสีมา,นครราชสีมา,276
30011408,ละลมโพธิ์,8,พุดซา,เมืองนครราชสีมา,นครราชสีมา,610
30011409,สระโพธิ์,9,พุดซา,เมืองนครราชสีมา,นครราชสีมา,271
30011410,ศรีษะช้าง,10,พุดซา,เมืองนครราชสีมา,นครราชสีมา,305
30011411,เขว้า,11,พุดซา,เมืองนครราชสีมา,นครราชสีมา,417
30011412,หนองยารักษ์,12,พุดซา,เมืองนครราชสีมา,นครราชสีมา,845
30011413,ลำโพง,13,พุดซา,เมืองนครราชสีมา,นครราชสีมา,959
30011414,น้อย,14,พุดซา,เมืองนครราชสีมา,นครราชสีมา,254
30011415,ละลมเหนือ,15,พุดซา,เมืองนครราชสีมา,นครราชสีมา,369
30011416,ดอนพัฒนา,16,พุดซา,เมืองนครราชสีมา,นครราชสีมา,435
30011417,หนองยารักษ์,17,พุดซา,เมืองนครราชสีมา,นครราชสีมา,702
30011418,ลำโพงใต้,18,พุดซา,เมืองนครราชสีมา,นครราชสีมา,843
30011501,ยุ้ง,1,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,617
30011502,โตนด,2,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,892
30011503,บูรณพาณิชย์,3,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,603
30011504,ศรีพัฒนา,4,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,938
30011505,วังหิน,5,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,508
30011506,มะค่า,6,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,712
30011507,แสนเมือง,7,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,1139
30011508,หนองบัว,8,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,1374
30011509,ลองตอง,9,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,953
30011510,มะค่าพัฒนา,10,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,948
30011601,พะเนาว์,1,จอหอ,เมืองนครราชสีมา,นครราชสีมา,1079
30011602,กล้วย,2,จอหอ,เมืองนครราชสีมา,นครราชสีมา,1284
30011603,จอหอ,3,จอหอ,เมืองนครราชสีมา,นครราชสีมา,2893
30011604,จอหอ,4,จอหอ,เมืองนครราชสีมา,นครราชสีมา,807
30011605,ช่องอู่,5,จอหอ,เมืองนครราชสีมา,นครราชสีมา,2165
30011606,ระกาย,6,จอหอ,เมืองนครราชสีมา,นครราชสีมา,3897
30011607,บึงทับช้าง,7,จอหอ,เมืองนครราชสีมา,นครราชสีมา,1159
30011608,สระธรรมขันธ์,8,จอหอ,เมืองนครราชสีมา,นครราชสีมา,1051
30011609,สำโรง,9,จอหอ,เมืองนครราชสีมา,นครราชสีมา,278
30011610,หนองออก,10,จอหอ,เมืองนครราชสีมา,นครราชสีมา,1413
30011611,กรูด,11,จอหอ,เมืองนครราชสีมา,นครราชสีมา,1436
30011612,สระตาราช,12,จอหอ,เมืองนครราชสีมา,นครราชสีมา,700
30011613,หนองพิมาน,13,จอหอ,เมืองนครราชสีมา,นครราชสีมา,5055
30011614,ปูน,14,จอหอ,เมืองนครราชสีมา,นครราชสีมา,995
30011615,หนองกระดังงา,15,จอหอ,เมืองนครราชสีมา,นครราชสีมา,630
30011656,ระกาย,6,จอหอ,เมืองนครราชสีมา,นครราชสีมา,1447
30011701,หนองหว้า,1,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,233
30011702,โคกกรวด,2,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,45
30011703,ดอนแต้ว,3,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,117
30011704,ละลมหม้อ,4,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,350
30011705,โป่งแมลงวัน,5,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1218
30011706,สระมโนรา,6,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,232
30011707,คลองกระบือ,7,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,435
30011708,เดื่อ,8,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1097
30011709,หนองเป็ดน้ำ,9,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1610
30011710,ดอน,10,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1129
30011711,หนองขอน,11,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1863
30011712,หนองรังกา,12,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1864
30011713,หนองกุ้ง,13,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,528
30011714,โคกเพชร,14,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1174
30011715,โป่งดินสอ,15,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,298
30011751,หนองหว้า,1,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1695
30011752,โคกกรวด,2,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1266
30011753,ดอนแต้ว,3,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,680
30011754,ละลมหม้อ,4,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1384
30011756,สระมโนรา,6,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,1393
30011764,โคกเพชร,14,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,781
30011801,ไชยมงคล,1,ไชยมงคล,เมืองนครราชสีมา,นครราชสีมา,1676
30011802,บุตาล,2,ไชยมงคล,เมืองนครราชสีมา,นครราชสีมา,672
30011803,หนองพลวงใหญ่,3,ไชยมงคล,เมืองนครราชสีมา,นครราชสีมา,1430
30011804,หนองปลิง,4,ไชยมงคล,เมืองนครราชสีมา,นครราชสีมา,1544
30011805,หนองไทร,5,ไชยมงคล,เมืองนครราชสีมา,นครราชสีมา,517
30011806,ไชยมงคลพัฒนา,6,ไชยมงคล,เมืองนครราชสีมา,นครราชสีมา,536
30011901,หนองตะคอง,1,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,978
30011902,หนองตะลุมปุ๊ก,2,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,666
30011903,หนองปลิง,3,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,1286
30011904,หนองบัวศาลา,4,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,2196
30011905,อ่างหนองแหน,5,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,1092
30011906,หนองโสมง,6,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,1053
30011907,ใหม่หนองแหน,7,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,1076
30011908,หนองตาคง,8,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,3825
30011909,หนองปลิงใหม่,9,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,649
30011910,หนองตะลุมปุ๊ก,10,หนองบัวศาลา,เมืองนครราชสีมา,นครราชสีมา,2529
30012001,ราชสีมา,1,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,2219
30012002,โนนไม้แดง,2,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,1910
30012003,ยางใหญ่,3,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,2007
30012004,ตะเภาทอง,4,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,705
30012005,หนองบง,5,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,1406
30012006,มาบเอื้อง,6,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,3066
30012007,โกรกเดือนห้า,7,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,749
30012008,สะพานหิน,8,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,311
30012009,ยางใหญ่พัฒนา,9,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,1683
30012010,ท้าวสุระ,10,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,1834
30012101,ดอน,1,สีมุม,เมืองนครราชสีมา,นครราชสีมา,800
30012102,สีมุม,2,สีมุม,เมืองนครราชสีมา,นครราชสีมา,564
30012103,สีมุม,3,สีมุม,เมืองนครราชสีมา,นครราชสีมา,771
30012104,สีมุม,4,สีมุม,เมืองนครราชสีมา,นครราชสีมา,567
30012105,สีมุม,5,สีมุม,เมืองนครราชสีมา,นครราชสีมา,436
30012106,สีมุม,6,สีมุม,เมืองนครราชสีมา,นครราชสีมา,604
30012107,สีมุม,7,สีมุม,เมืองนครราชสีมา,นครราชสีมา,476
30012108,แปะ,8,สีมุม,เมืองนครราชสีมา,นครราชสีมา,897
30012109,ทุ่งกระโดน,9,สีมุม,เมืองนครราชสีมา,นครราชสีมา,664
30012110,มะกอก,10,สีมุม,เมืองนครราชสีมา,นครราชสีมา,431
30012201,บุ,1,ตลาด,เมืองนครราชสีมา,นครราชสีมา,1002
30012202,บุ,2,ตลาด,เมืองนครราชสีมา,นครราชสีมา,673
30012203,ตลาด,3,ตลาด,เมืองนครราชสีมา,นครราชสีมา,1136
30012204,โพธิ์,4,ตลาด,เมืองนครราชสีมา,นครราชสีมา,423
30012205,กระฉอด,5,ตลาด,เมืองนครราชสีมา,นครราชสีมา,221
30012206,ราษฎร์ประสงค์,6,ตลาด,เมืองนครราชสีมา,นครราชสีมา,550
30012207,หนองตะคอง,7,ตลาด,เมืองนครราชสีมา,นครราชสีมา,584
30012208,บุพัฒนา,8,ตลาด,เมืองนครราชสีมา,นครราชสีมา,999
30012301,มะเริงน้อย,1,พะเนา,เมืองนครราชสีมา,นครราชสีมา,183
30012302,พุดซา,2,พะเนา,เมืองนครราชสีมา,นครราชสีมา,640
30012303,หนองสายไพร,3,พะเนา,เมืองนครราชสีมา,นครราชสีมา,553
30012304,คอนอินทร์,4,พะเนา,เมืองนครราชสีมา,นครราชสีมา,836
30012305,พะเนา,5,พะเนา,เมืองนครราชสีมา,นครราชสีมา,227
30012306,พะเนา,6,พะเนา,เมืองนครราชสีมา,นครราชสีมา,638
30012307,มะเริงใหม่,7,พะเนา,เมืองนครราชสีมา,นครราชสีมา,764
30012308,ยองแยง,8,พะเนา,เมืองนครราชสีมา,นครราชสีมา,524
30012309,ใหม่ยองแยง,9,พะเนา,เมืองนครราชสีมา,นครราชสีมา,459
30012401,หนองหญ้างาม,1,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,762
30012402,หนองโพธิ์,2,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,1820
30012403,พระ,3,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,576
30012404,ฝ้าย,4,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,384
30012405,ช่องลม,5,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,309
30012406,คอกวัว,6,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,1164
30012407,หนองกระทุ่ม,7,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,879
30012408,ส้มป่อย,8,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,141
30012409,นาตม,9,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,448
30012501,หนองไข่น้ำพัฒนา,1,หนองไข่น้ำ,เมืองนครราชสีมา,นครราชสีมา,754
30012502,บึงรี,2,หนองไข่น้ำ,เมืองนครราชสีมา,นครราชสีมา,600
30012503,คอหนองบัว,3,หนองไข่น้ำ,เมืองนครราชสีมา,นครราชสีมา,766
30012504,สนวน,4,หนองไข่น้ำ,เมืองนครราชสีมา,นครราชสีมา,774
30012505,โกรกพัฒนา,5,หนองไข่น้ำ,เมืองนครราชสีมา,นครราชสีมา,622
30012506,โกรก,6,หนองไข่น้ำ,เมืองนครราชสีมา,นครราชสีมา,829
30012507,หนองไข่น้ำ,7,หนองไข่น้ำ,เมืองนครราชสีมา,นครราชสีมา,879
30012508,กระโดน,8,หนองไข่น้ำ,เมืองนครราชสีมา,นครราชสีมา,611
30020101,บ้านดอนกรูด,1,แชะ,ครบุรี,นครราชสีมา,880
30020102,บ้านหนองรัง,2,แชะ,ครบุรี,นครราชสีมา,1266
30020103,บ้านแชะ,3,แชะ,ครบุรี,นครราชสีมา,423
30020104,บ้านแชะ,4,แชะ,ครบุรี,นครราชสีมา,281
30020105,บ้านโนนมะขามป้อม,5,แชะ,ครบุรี,นครราชสีมา,602
30020106,บ้านขาคีม,6,แชะ,ครบุรี,นครราชสีมา,609
30020107,บ้านพนาหนองหิน,7,แชะ,ครบุรี,นครราชสีมา,684
30020108,บ้านถนนกลาง,8,แชะ,ครบุรี,นครราชสีมา,990
30020109,บ้านหนองมะค่า,9,แชะ,ครบุรี,นครราชสีมา,605
30020110,บ้านดอนสง่างาม,10,แชะ,ครบุรี,นครราชสีมา,638
30020111,บ้านโนนทอง,11,แชะ,ครบุรี,นครราชสีมา,376
30020153,บ้านแชะ,3,แชะ,ครบุรี,นครราชสีมา,1900
30020154,บ้านแชะ,4,แชะ,ครบุรี,นครราชสีมา,1855
30020201,บ้านเฉลียงใหญ่,1,เฉลียง,ครบุรี,นครราชสีมา,780
30020202,บ้านเฉลียงโคก,2,เฉลียง,ครบุรี,นครราชสีมา,827
30020203,บ้านหนองหว้า,3,เฉลียง,ครบุรี,นครราชสีมา,718
30020204,บ้านเฉลียงโคก,4,เฉลียง,ครบุรี,นครราชสีมา,867
30020205,บ้านโคกแขวน,5,เฉลียง,ครบุรี,นครราชสีมา,560
30020206,บ้านเฉลียงทุ่ง,6,เฉลียง,ครบุรี,นครราชสีมา,954
30020207,บ้านดอนตะเกียด,7,เฉลียง,ครบุรี,นครราชสีมา,334
30020208,บ้านโครกกรวด,8,เฉลียง,ครบุรี,นครราชสีมา,695
30020209,บ้านคลองสำราญ,9,เฉลียง,ครบุรี,นครราชสีมา,312
30020210,บ้านเฉลียงบรรพต,10,เฉลียง,ครบุรี,นครราชสีมา,612
30020211,บ้านเฉลียงพัฒนา,11,เฉลียง,ครบุรี,นครราชสีมา,602
30020212,บ้านโคกเจริญ,12,เฉลียง,ครบุรี,นครราชสีมา,386
30020301,ไทรโยง,1,ครบุรี,ครบุรี,นครราชสีมา,1529
30020302,ไชยวาล,2,ครบุรี,ครบุรี,นครราชสีมา,1021
30020303,ดอนแสนสุข,3,ครบุรี,ครบุรี,นครราชสีมา,875
30020304,โกรกสำโรง,4,ครบุรี,ครบุรี,นครราชสีมา,723
30020305,หนองต้อ,5,ครบุรี,ครบุรี,นครราชสีมา,684
30020306,เมืองตะโก,6,ครบุรี,ครบุรี,นครราชสีมา,273
30020307,หนองใหญ่,7,ครบุรี,ครบุรี,นครราชสีมา,524
30020308,บ้านใหญ่,8,ครบุรี,ครบุรี,นครราชสีมา,737
30020309,ดอนกระชาย,9,ครบุรี,ครบุรี,นครราชสีมา,392
30020310,หนองใหญ่พัฒนา,10,ครบุรี,ครบุรี,นครราชสีมา,303
30020311,หนองปรือ,11,ครบุรี,ครบุรี,นครราชสีมา,727
30020312,ใหญ่ริมคลอง,12,ครบุรี,ครบุรี,นครราชสีมา,572
30020313,หนองกราด,13,ครบุรี,ครบุรี,นครราชสีมา,458
30020314,ใหม่ริมมูล,14,ครบุรี,ครบุรี,นครราชสีมา,147
30020401,โคกกระชาย,1,โคกกระชาย,ครบุรี,นครราชสีมา,513
30020402,โนนกุ่ม,2,โคกกระชาย,ครบุรี,นครราชสีมา,407
30020403,โนนระเวียง,3,โคกกระชาย,ครบุรี,นครราชสีมา,700
30020404,มะค่า,4,โคกกระชาย,ครบุรี,นครราชสีมา,329
30020405,มาบกราด,5,โคกกระชาย,ครบุรี,นครราชสีมา,737
30020406,ตะกุดใหญ่,6,โคกกระชาย,ครบุรี,นครราชสีมา,425
30020407,โคกใบบัว,7,โคกกระชาย,ครบุรี,นครราชสีมา,591
30020408,หนองโบสถ์,8,โคกกระชาย,ครบุรี,นครราชสีมา,565
30020409,หนองสาระเสร็จ,9,โคกกระชาย,ครบุรี,นครราชสีมา,419
30020410,ทุ่งตะเคียน,10,โคกกระชาย,ครบุรี,นครราชสีมา,118
30020411,ซับเจริญ,11,โคกกระชาย,ครบุรี,นครราชสีมา,163
30020412,เนินเสมา,12,โคกกระชาย,ครบุรี,นครราชสีมา,453
30020413,โนนกุ่ม,13,โคกกระชาย,ครบุรี,นครราชสีมา,541
30020414,มาบกราด,14,โคกกระชาย,ครบุรี,นครราชสีมา,388
30020415,ใหม่ชัยมงคล,15,โคกกระชาย,ครบุรี,นครราชสีมา,439
30020416,หนองโบสถ์ (บ่อลิง),16,โคกกระชาย,ครบุรี,นครราชสีมา,227
